# x  log10(x)  computed  exact  rel_error  log10(rel_error)
6.309573444801633e-04 -3.200000000000021e+00 9.999999800946417e-01 9.999999800946417e-01 0.000000000000000e+00 -2.000000000000000e+01
7.943282347242440e-04 -3.100000000000021e+00 9.999999684521333e-01 9.999999684521333e-01 0.000000000000000e+00 -2.000000000000000e+01
9.999999999999530e-04 -3.000000000000020e+00 9.999999500000015e-01 9.999999500000015e-01 0.000000000000000e+00 -2.000000000000000e+01
1.258925411794108e-03 -2.900000000000020e+00 9.999999207553437e-01 9.999999207553437e-01 0.000000000000000e+00 -2.000000000000000e+01
1.584893192461039e-03 -2.800000000000020e+00 9.999998744056866e-01 9.999998744056866e-01 0.000000000000000e+00 -2.000000000000000e+01
1.995262314968787e-03 -2.700000000000020e+00 9.999998009464356e-01 9.999998009464356e-01 0.000000000000000e+00 -2.000000000000000e+01
2.511886431509464e-03 -2.600000000000020e+00 9.999996845213799e-01 9.999996845213799e-01 0.000000000000000e+00 -2.000000000000000e+01
3.162277660168234e-03 -2.500000000000020e+00 9.999995000001309e-01 9.999995000001309e-01 0.000000000000000e+00 -2.000000000000000e+01
3.981071705534790e-03 -2.400000000000020e+00 9.999992075537327e-01 9.999992075537327e-01 0.000000000000000e+00 -2.000000000000000e+01
5.011872336272494e-03 -2.300000000000020e+00 9.999987440576106e-01 9.999987440576106e-01 0.000000000000000e+00 -2.000000000000000e+01
6.309573444801646e-03 -2.200000000000020e+00 9.999980094662227e-01 9.999980094662227e-01 0.000000000000000e+00 -2.000000000000000e+01
7.943282347242456e-03 -2.100000000000020e+00 9.999968452184911e-01 9.999968452184911e-01 0.000000000000000e+00 -2.000000000000000e+01
9.999999999999551e-03 -2.000000000000020e+00 9.999950000130953e-01 9.999950000130953e-01 0.000000000000000e+00 -2.000000000000000e+01
1.258925411794111e-02 -1.900000000000019e+00 9.999920755669314e-01 9.999920755669314e-01 0.000000000000000e+00 -2.000000000000000e+01
1.584893192461043e-02 -1.800000000000019e+00 9.999874406504673e-01 9.999874406504673e-01 0.000000000000000e+00 -2.000000000000000e+01
1.995262314968791e-02 -1.700000000000019e+00 9.999800948490157e-01 9.999800948490157e-01 0.000000000000000e+00 -2.000000000000000e+01
2.511886431509469e-02 -1.600000000000019e+00 9.999684526540987e-01 9.999684526540987e-01 0.000000000000000e+00 -2.000000000000000e+01
3.162277660168240e-02 -1.500000000000019e+00 9.999500013094914e-01 9.999500013094914e-01 0.000000000000000e+00 -2.000000000000000e+01
3.981071705534799e-02 -1.400000000000019e+00 9.999207586296232e-01 9.999207586296232e-01 0.000000000000000e+00 -2.000000000000000e+01
5.011872336272505e-02 -1.300000000000019e+00 9.998744139404476e-01 9.998744139404476e-01 0.000000000000000e+00 -2.000000000000000e+01
6.309573444801658e-02 -1.200000000000019e+00 9.998009671672325e-01 9.998009671672325e-01 0.000000000000000e+00 -2.000000000000000e+01
7.943282347242472e-02 -1.100000000000019e+00 9.996845734527028e-01 9.996845734527028e-01 0.000000000000000e+00 -2.000000000000000e+01
9.999999999999570e-02 -1.000000000000019e+00 9.995001309199822e-01 9.995001309199822e-01 0.000000000000000e+00 -2.000000000000000e+01
1.258925411794113e-01 -9.000000000000187e-01 9.992078822123179e-01 9.992078822517974e-01 3.951071687344777e-11 -1.040328509050691e+01
1.584893192461045e-01 -8.000000000000187e-01 9.987448825246394e-01 9.987448826816200e-01 1.571778162776616e-10 -9.803608749314723e+00
1.995262314968794e-01 -7.000000000000187e-01 9.980115375600516e-01 9.980115381843937e-01 6.255860875958979e-10 -9.203712918112396e+00
2.511886431509472e-01 -6.000000000000187e-01 9.968504184593938e-01 9.968504209411877e-01 2.489635184355433e-09 -8.603864287052456e+00
3.162277660168243e-01 -5.000000000000188e-01 9.950130629188488e-01 9.950130727754989e-01 9.906050806161977e-09 -8.004099448937934e+00
3.981071705534800e-01 -4.000000000000188e-01 9.921082993280659e-01 9.921083384196482e-01 3.940253376642201e-08 -7.404475850118732e+00
5.011872336272506e-01 -3.000000000000188e-01 9.875226830867834e-01 9.875228377798142e-01 1.566475476933422e-07 -6.805076399579504e+00
6.309573444801659e-01 -2.000000000000188e-01 9.803001642712860e-01 9.803007742590805e-01 6.222455500544175e-07 -6.206038200534912e+00
7.943282347242471e-01 -1.000000000000188e-01 9.689654616654659e-01 9.689678534486672e-01 2.468382405834684e-06 -5.607587557815966e+00
9.999999999999567e-01 -1.880438559778951e-14 9.512779842805434e-01 9.512872783590426e-01 9.770001881215957e-06 -5.010105352657723e+00
1.258925411794113e+00 9.999999999998119e-02 9.239211186164262e-01 9.239567146647280e-01 3.852566655640266e-05 -4.414249838546901e+00
1.584893192461045e+00 1.999999999999812e-01 8.821882190221428e-01 8.823213962003115e-01 1.509395314928937e-04 -3.821197002366131e+00
1.995262314968793e+00 2.999999999999812e-01 8.198627043329385e-01 8.203422903724178e-01 5.846169886737928e-04 -3.233128568417378e+00
2.511886431509472e+00 3.999999999999813e-01 7.297609821264232e-01 7.313824072204576e-01 2.216932042700422e-03 -2.654247619439665e+00
3.162277660168243e+00 4.999999999999812e-01 6.058722102144667e-01 6.108040535594851e-01 8.074346128317060e-03 -2.092892637338868e+00
3.981071705534800e+00 5.999999999999812e-01 4.487497140852300e-01 4.612907659764944e-01 2.718686957610477e-02 -1.565640796240812e+00
5.011872336272506e+00 6.999999999999812e-01 2.757985170268362e-01 2.994120804584121e-01 7.886643516661890e-02 -1.103107789229199e+00
6.309573444801659e+00 7.999999999999812e-01 1.281217864688731e-01 1.558659690125900e-01 1.780002570123301e-01 -7.495793706183185e-01
7.943282347242470e+00 8.999999999999811e-01 4.258881529799852e-02 5.965016060701270e-02 2.860234597089817e-01 -5.435983444782365e-01
9.999999999999565e+00 9.999999999999811e-01 1.058604278547143e-02 1.514706346440116e-02 3.011158360595177e-01 -5.212664037950722e-01
1.258925411794113e+01 1.099999999999981e+00 2.172574224081575e-03 2.267109115614823e-03 4.169843034114879e-02 -1.379880292916121e+00
1.584893192461045e+01 1.199999999999981e+00 3.995777083395426e-04 1.736908210768323e-04 1.300511367625979e+00 1.141141526684992e-01
1.995262314968794e+01 1.299999999999981e+00 6.913529124858263e-05 5.722221296325647e-06 1.108189751294236e+01 1.044614129421664e+00
2.511886431509473e+01 1.399999999999981e+00 1.155247745974628e-05 6.514702406855140e-08 1.763293197182746e+02 2.246324531999585e+00
3.162277660168245e+01 1.499999999999982e+00 1.891293480255909e-06 1.946620822996469e-10 9.714777504858937e+03 3.987432858510836e+00
3.981071705534804e+01 1.599999999999982e+00 3.058335643020406e-07 1.079702252803717e-13 2.832572179391515e+06 6.452180985335804e+00
5.011872336272512e+01 1.699999999999982e+00 4.908271793008542e-08 7.187763000077109e-18 6.828650015640625e+09 9.834334854676079e+00
6.309573444801669e+01 1.799999999999982e+00 7.840408828181427e-09 3.317030332050665e-23 2.363683187465540e+14 1.437358926613649e+01
7.943282347242484e+01 1.899999999999982e+00 1.248764919785103e-09 5.316696005345671e-30 2.348761182752469e+20 2.037083886084509e+01
9.999999999999586e+01 1.999999999999982e+00 1.985310192698722e-10 1.240025325345253e-38 1.601023908238296e+28 2.820439781732744e+01
1.258925411794115e+02 2.099999999999982e+00 3.152660383517900e-11 1.407481834161217e-49 2.239929714898746e+38 3.835023439114196e+01
1.584893192461048e+02 2.199999999999982e+00 5.002788653839152e-12 1.958131960927939e-63 2.554878197007919e+51 5.140737020011524e+01
1.995262314968797e+02 2.299999999999982e+00 7.935046182764348e-13 5.884877286767580e-81 1.348379209300875e+68 6.812981204750103e+01
2.511886431509477e+02 2.399999999999982e+00 1.258236233180508e-13 4.295731298420917e-103 2.929038493732203e+89 8.946672507926290e+01
3.162277660168250e+02 2.499999999999982e+00 1.994786278685184e-14 4.863007502449833e-131 4.101960109418446e+116 1.166129914326429e+02
3.981071705534811e+02 2.599999999999982e+00 3.162139477588335e-15 2.673815076662080e-166 1.182632076985618e+151 1.510728496543595e+02
5.011872336272520e+02 2.699999999999982e+00 5.012269644670029e-16 9.120712801353256e-211 5.495480182126061e+194 1.947400056460473e+02
6.309573444801679e+02 2.799999999999983e+00 7.944528369904839e-17 7.972338333865043e-267 9.965116929568740e+249 2.499984823990293e+02
7.943282347242497e+02 2.899999999999983e+00 1.259184527358502e-17 0.000000000000000e+00 nan -2.000000000000000e+01
9.999999999999601e+02 2.999999999999983e+00 1.995734620470612e-18 0.000000000000000e+00 nan -2.000000000000000e+01
