# x  log10(x)  computed  exact  rel_error  log10(rel_error)
1.258925411794115e-05 -4.900000000000018e+00 1.000000836387853e+00 9.999999999920755e-01 8.363957770884611e-07 -6.077588168575323e+00
1.584893192461046e-05 -4.800000000000018e+00 1.000000829152318e+00 9.999999999874405e-01 8.291648778795180e-07 -6.081359102219960e+00
1.995262314968793e-05 -4.700000000000019e+00 9.999987822438841e-01 9.999999999800946e-01 1.217736210559021e-06 -5.914446779606353e+00
2.511886431509469e-05 -4.600000000000019e+00 9.999997983826783e-01 9.999999999684521e-01 2.015857738576801e-07 -6.695540119811380e+00
3.162277660168237e-05 -4.500000000000020e+00 1.000000028921988e+00 9.999999999500000e-01 2.897198792129439e-08 -7.538021704532909e+00
3.981071705534790e-05 -4.400000000000020e+00 1.000000099238874e+00 9.999999999207554e-01 9.931811840401156e-08 -7.002971516810743e+00
5.011872336272489e-05 -4.300000000000020e+00 9.999999948005663e-01 9.999999998744056e-01 5.073839238283173e-09 -8.294663297270493e+00
6.309573444801632e-05 -4.200000000000021e+00 1.000000024695077e+00 9.999999998009463e-01 2.489413076174708e-08 -7.603903033556723e+00
7.943282347242432e-05 -4.100000000000021e+00 1.000000014248518e+00 9.999999996845212e-01 1.456399667991545e-08 -7.836719428742115e+00
9.999999999999509e-05 -4.000000000000021e+00 1.000000031100711e+00 9.999999995000000e-01 3.160071073064118e-08 -7.500303149567531e+00
1.258925411794106e-04 -3.900000000000021e+00 9.999999805505788e-01 9.999999992075534e-01 1.865697464666564e-08 -7.729158778637832e+00
1.584893192461036e-04 -3.800000000000021e+00 1.000000012133795e+00 9.999999987440569e-01 1.338973800185348e-08 -7.873227920782054e+00
1.995262314968783e-04 -3.700000000000021e+00 9.999999902051405e-01 9.999999980094640e-01 7.804323536300663e-09 -8.107664734777579e+00
2.511886431509459e-04 -3.600000000000021e+00 1.000000003608222e+00 9.999999968452133e-01 6.763009063012888e-09 -8.169860030582369e+00
3.162277660168228e-04 -3.500000000000021e+00 9.999999980650431e-01 9.999999950000000e-01 3.065043123533203e-09 -8.513563410809265e+00
3.981071705534782e-04 -3.400000000000021e+00 9.999999909831456e-01 9.999999920755341e-01 1.092388521636476e-09 -8.961622871893828e+00
5.011872336272483e-04 -3.300000000000021e+00 9.999999896332888e-01 9.999999874405680e-01 2.192720921284888e-09 -8.659016639667065e+00
6.309573444801633e-04 -3.200000000000021e+00 9.999999806689536e-01 9.999999800946417e-01 5.743118317546310e-10 -9.240852236456398e+00
7.943282347242440e-04 -3.100000000000021e+00 9.999999688198994e-01 9.999999684521333e-01 3.677660514460209e-10 -9.434428363053723e+00
9.999999999999530e-04 -3.000000000000020e+00 9.999999497855555e-01 9.999999500000015e-01 2.144460272221928e-10 -9.668681994990127e+00
1.258925411794108e-03 -2.900000000000020e+00 9.999999205605242e-01 9.999999207553437e-01 1.948195093089733e-10 -9.710367554844547e+00
1.584893192461039e-03 -2.800000000000020e+00 9.999998745480156e-01 9.999998744056866e-01 1.423290553204306e-10 -9.846706433174630e+00
1.995262314968787e-03 -2.700000000000020e+00 9.999998008621430e-01 9.999998009464356e-01 8.429258970038082e-11 -1.007421060323636e+01
2.511886431509464e-03 -2.600000000000020e+00 9.999996844414798e-01 9.999996845213799e-01 7.990011175379042e-11 -1.009745261325146e+01
3.162277660168234e-03 -2.500000000000020e+00 9.999994999932291e-01 9.999995000001309e-01 6.901815905791797e-12 -1.116103662895717e+01
3.981071705534790e-03 -2.400000000000020e+00 9.999992075835838e-01 9.999992075537327e-01 2.985114523003751e-11 -1.052503900264031e+01
5.011872336272494e-03 -2.300000000000020e+00 9.999987440737158e-01 9.999987440576106e-01 1.610524848938418e-11 -1.079303257002244e+01
6.309573444801646e-03 -2.200000000000020e+00 9.999980094628184e-01 9.999980094662227e-01 3.404394659273140e-12 -1.146796009946601e+01
7.943282347242456e-03 -2.100000000000020e+00 9.999968452096949e-01 9.999968452184911e-01 8.796213751935145e-12 -1.105570422563253e+01
9.999999999999551e-03 -2.000000000000020e+00 9.999950000095738e-01 9.999950000130953e-01 3.521534019432516e-12 -1.145326811179232e+01
1.258925411794111e-02 -1.900000000000019e+00 9.999920755657711e-01 9.999920755669314e-01 1.160303277781415e-12 -1.193542848090053e+01
1.584893192461043e-02 -1.800000000000019e+00 9.999874406488348e-01 9.999874406504673e-01 1.632492438451974e-12 -1.178714882165852e+01
1.995262314968791e-02 -1.700000000000019e+00 9.999800948484474e-01 9.999800948490157e-01 5.683344790892335e-13 -1.224539599585749e+01
2.511886431509469e-02 -1.600000000000019e+00 9.999684526541104e-01 9.999684526540987e-01 1.165770952835905e-14 -1.393338677006670e+01
3.162277660168240e-02 -1.500000000000019e+00 9.999500013097569e-01 9.999500013094914e-01 2.654675982201584e-13 -1.257598847937698e+01
3.981071705534799e-02 -1.400000000000019e+00 9.999207586296273e-01 9.999207586296232e-01 4.108150726606370e-15 -1.438635363067053e+01
5.011872336272505e-02 -1.300000000000019e+00 9.998744139406959e-01 9.998744139404476e-01 2.482770484423762e-13 -1.260506342621885e+01
6.309573444801658e-02 -1.200000000000019e+00 9.998009671678458e-01 9.998009671672325e-01 6.134092873910518e-13 -1.221224965282019e+01
7.943282347242472e-02 -1.100000000000019e+00 9.996845734551916e-01 9.996845734527028e-01 2.489572231475435e-12 -1.160387526875541e+01
9.999999999999570e-02 -1.000000000000019e+00 9.995001309298710e-01 9.995001309199822e-01 9.893702036071009e-12 -1.100464117321570e+01
1.258925411794113e-01 -9.000000000000187e-01 9.992078822517974e-01 9.992078822517974e-01 0.000000000000000e+00 -2.000000000000000e+01
1.584893192461045e-01 -8.000000000000187e-01 9.987448826816200e-01 9.987448826816200e-01 0.000000000000000e+00 -2.000000000000000e+01
1.995262314968794e-01 -7.000000000000187e-01 9.980115381843937e-01 9.980115381843937e-01 0.000000000000000e+00 -2.000000000000000e+01
2.511886431509472e-01 -6.000000000000187e-01 9.968504209411877e-01 9.968504209411877e-01 0.000000000000000e+00 -2.000000000000000e+01
3.162277660168243e-01 -5.000000000000188e-01 9.950130727754989e-01 9.950130727754989e-01 0.000000000000000e+00 -2.000000000000000e+01
3.981071705534800e-01 -4.000000000000188e-01 9.921083384196482e-01 9.921083384196482e-01 0.000000000000000e+00 -2.000000000000000e+01
5.011872336272506e-01 -3.000000000000188e-01 9.875228377798142e-01 9.875228377798142e-01 0.000000000000000e+00 -2.000000000000000e+01
6.309573444801659e-01 -2.000000000000188e-01 9.803007742590805e-01 9.803007742590805e-01 0.000000000000000e+00 -2.000000000000000e+01
7.943282347242471e-01 -1.000000000000188e-01 9.689678534486672e-01 9.689678534486672e-01 0.000000000000000e+00 -2.000000000000000e+01
9.999999999999567e-01 -1.880438559778951e-14 9.512872783590426e-01 9.512872783590426e-01 0.000000000000000e+00 -2.000000000000000e+01
1.258925411794113e+00 9.999999999998119e-02 9.239567146647280e-01 9.239567146647280e-01 0.000000000000000e+00 -2.000000000000000e+01
1.584893192461045e+00 1.999999999999812e-01 8.823213962003115e-01 8.823213962003115e-01 0.000000000000000e+00 -2.000000000000000e+01
1.995262314968793e+00 2.999999999999812e-01 8.203422903724178e-01 8.203422903724178e-01 0.000000000000000e+00 -2.000000000000000e+01
2.511886431509472e+00 3.999999999999813e-01 7.313824072204576e-01 7.313824072204576e-01 0.000000000000000e+00 -2.000000000000000e+01
3.162277660168243e+00 4.999999999999812e-01 6.108040535594851e-01 6.108040535594851e-01 0.000000000000000e+00 -2.000000000000000e+01
3.981071705534800e+00 5.999999999999812e-01 4.612907659764944e-01 4.612907659764944e-01 0.000000000000000e+00 -2.000000000000000e+01
5.011872336272506e+00 6.999999999999812e-01 2.994120804584121e-01 2.994120804584121e-01 0.000000000000000e+00 -2.000000000000000e+01
6.309573444801659e+00 7.999999999999812e-01 1.558659690125900e-01 1.558659690125900e-01 0.000000000000000e+00 -2.000000000000000e+01
7.943282347242470e+00 8.999999999999811e-01 5.965016060701270e-02 5.965016060701270e-02 0.000000000000000e+00 -2.000000000000000e+01
9.999999999999565e+00 9.999999999999811e-01 1.514706346440116e-02 1.514706346440116e-02 0.000000000000000e+00 -2.000000000000000e+01
1.258925411794113e+01 1.099999999999981e+00 2.267109115614823e-03 2.267109115614823e-03 0.000000000000000e+00 -2.000000000000000e+01
1.584893192461045e+01 1.199999999999981e+00 1.736908210768323e-04 1.736908210768323e-04 0.000000000000000e+00 -2.000000000000000e+01
1.995262314968794e+01 1.299999999999981e+00 5.722221296325647e-06 5.722221296325647e-06 0.000000000000000e+00 -2.000000000000000e+01
2.511886431509473e+01 1.399999999999981e+00 6.514702406855140e-08 6.514702406855140e-08 0.000000000000000e+00 -2.000000000000000e+01
3.162277660168245e+01 1.499999999999982e+00 1.946620822996469e-10 1.946620822996469e-10 0.000000000000000e+00 -2.000000000000000e+01
3.981071705534804e+01 1.599999999999982e+00 1.079702252803717e-13 1.079702252803717e-13 0.000000000000000e+00 -2.000000000000000e+01
5.011872336272512e+01 1.699999999999982e+00 7.187763000077109e-18 7.187763000077109e-18 0.000000000000000e+00 -2.000000000000000e+01
6.309573444801669e+01 1.799999999999982e+00 3.317030332050665e-23 3.317030332050665e-23 0.000000000000000e+00 -2.000000000000000e+01
7.943282347242484e+01 1.899999999999982e+00 5.316696005345671e-30 5.316696005345671e-30 0.000000000000000e+00 -2.000000000000000e+01
9.999999999999586e+01 1.999999999999982e+00 1.240025325345253e-38 1.240025325345253e-38 0.000000000000000e+00 -2.000000000000000e+01
1.258925411794115e+02 2.099999999999982e+00 1.407481834161217e-49 1.407481834161217e-49 0.000000000000000e+00 -2.000000000000000e+01
1.584893192461048e+02 2.199999999999982e+00 1.958131960927939e-63 1.958131960927939e-63 0.000000000000000e+00 -2.000000000000000e+01
1.995262314968797e+02 2.299999999999982e+00 5.884877286767580e-81 5.884877286767580e-81 0.000000000000000e+00 -2.000000000000000e+01
2.511886431509477e+02 2.399999999999982e+00 4.295731298420917e-103 4.295731298420917e-103 0.000000000000000e+00 -2.000000000000000e+01
3.162277660168250e+02 2.499999999999982e+00 4.863007502449833e-131 4.863007502449833e-131 0.000000000000000e+00 -2.000000000000000e+01
3.981071705534811e+02 2.599999999999982e+00 2.673815076662080e-166 2.673815076662080e-166 0.000000000000000e+00 -2.000000000000000e+01
5.011872336272520e+02 2.699999999999982e+00 9.120712801353256e-211 9.120712801353256e-211 0.000000000000000e+00 -2.000000000000000e+01
6.309573444801679e+02 2.799999999999983e+00 7.972338333865043e-267 7.972338333865043e-267 0.000000000000000e+00 -2.000000000000000e+01
7.943282347242497e+02 2.899999999999983e+00 0.000000000000000e+00 0.000000000000000e+00 nan -2.000000000000000e+01
9.999999999999601e+02 2.999999999999983e+00 0.000000000000000e+00 0.000000000000000e+00 nan -2.000000000000000e+01
